index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1990-01-01,99.71875,19900600.0,99.75,19900300.0,99.71875,19900600.0
1990-01-02,99.71875,19900600.0,99.75,19900300.0,99.71875,19900600.0
1990-01-03,99.59375,19900600.0,99.625,19900300.0,99.59375,19900600.0
1990-01-04,99.375,19900600.0,99.40625,19900300.0,99.375,19900600.0
1990-01-05,99.4375,19900600.0,99.46875,19900300.0,99.4375,19900600.0
1990-01-08,99.34375,19900600.0,99.4375,19900300.0,99.34375,19900600.0
1990-01-09,99.21875,19900600.0,99.3125,19900300.0,99.21875,19900600.0
1990-01-10,99.1875,19900600.0,99.28125,19900300.0,99.1875,19900600.0
1990-01-11,99.1875,19900600.0,99.25,19900300.0,99.1875,19900600.0
1990-01-12,99.125,19900600.0,99.21875,19900300.0,99.125,19900600.0
1990-01-15,98.84375,19900600.0,98.9375,19900300.0,98.84375,19900600.0
1990-01-16,98.375,19900600.0,98.46875,19900300.0,98.375,19900600.0
1990-01-17,98.15625,19900600.0,98.25,19900300.0,98.15625,19900600.0
1990-01-18,98.1875,19900600.0,98.28125,19900300.0,98.1875,19900600.0
1990-01-19,97.34375,19900600.0,97.5,19900300.0,97.34375,19900600.0
1990-01-22,97.75,19900600.0,97.84375,19900300.0,97.75,19900600.0
1990-01-23,97.65625,19900600.0,97.8125,19900300.0,97.65625,19900600.0
1990-01-24,97.84375,19900600.0,97.96875,19900300.0,97.84375,19900600.0
1990-01-25,97.15625,19900600.0,97.28125,19900300.0,97.15625,19900600.0
1990-01-26,96.90625,19900600.0,97.03125,19900300.0,96.90625,19900600.0
1990-01-29,96.40625,19900600.0,96.53125,19900300.0,96.40625,19900600.0
1990-01-30,96.40625,19900600.0,96.5625,19900300.0,96.40625,19900600.0
1990-01-31,96.25,19900600.0,96.40625,19900300.0,96.25,19900600.0
1990-02-01,96.8125,19900600.0,97.0,19900300.0,96.8125,19900600.0
1990-02-02,96.96875,19900600.0,97.125,19900300.0,96.96875,19900600.0
1990-02-05,96.5,19900600.0,96.65625,19900300.0,96.5,19900600.0
1990-02-06,96.3125,19900600.0,96.46875,19900300.0,96.3125,19900600.0
1990-02-07,96.0625,19900600.0,96.21875,19900300.0,96.0625,19900600.0
1990-02-08,96.125,19900600.0,96.25,19900300.0,96.125,19900600.0
1990-02-09,96.5,19900600.0,96.625,19900300.0,96.5,19900600.0
1990-02-12,97.5,19900600.0,97.59375,19900300.0,97.5,19900600.0
1990-02-13,96.96875,19900600.0,97.09375,19900300.0,96.96875,19900600.0
1990-02-14,97.3125,19900600.0,97.40625,19900300.0,97.3125,19900600.0
1990-02-15,97.25,19900600.0,97.34375,19900300.0,97.25,19900600.0
1990-02-16,96.75,19900600.0,96.8125,19900300.0,96.75,19900600.0
1990-02-19,96.875,19900600.0,96.90625,19900300.0,96.875,19900600.0
1990-02-20,96.875,19900600.0,96.90625,19900300.0,96.875,19900600.0
1990-02-21,95.625,19900600.0,95.65625,19900300.0,95.625,19900600.0
1990-02-22,95.625,19900600.0,95.6875,19900300.0,95.625,19900600.0
1990-02-23,96.15625,19900600.0,96.21875,19900300.0,96.15625,19900600.0
1990-02-26,96.15625,19900600.0,96.1875,19900300.0,96.15625,19900600.0
1990-02-27,96.65625,19900600.0,96.6875,19900300.0,96.65625,19900600.0
1990-02-28,96.90625,19900900.0,97.0,19900600.0,96.90625,19900900.0
1990-03-01,96.21875,19900900.0,96.3125,19900600.0,96.21875,19900900.0
1990-03-02,95.6875,19900900.0,95.8125,19900600.0,95.6875,19900900.0
1990-03-05,95.9375,19900900.0,96.0625,19900600.0,95.9375,19900900.0
1990-03-06,95.25,19900900.0,95.375,19900600.0,95.25,19900900.0
1990-03-07,95.625,19900900.0,95.75,19900600.0,95.625,19900900.0
1990-03-08,95.6875,19900900.0,95.8125,19900600.0,95.6875,19900900.0
1990-03-09,95.78125,19900900.0,95.90625,19900600.0,95.78125,19900900.0
1990-03-12,95.25,19900900.0,95.375,19900600.0,95.25,19900900.0
1990-03-13,95.40625,19900900.0,95.53125,19900600.0,95.40625,19900900.0
1990-03-14,94.8125,19900900.0,94.9375,19900600.0,94.8125,19900900.0
1990-03-15,95.375,19900900.0,95.5,19900600.0,95.375,19900900.0
1990-03-16,95.25,19900900.0,95.375,19900600.0,95.25,19900900.0
1990-03-19,95.78125,19900900.0,95.90625,19900600.0,95.78125,19900900.0
1990-03-20,95.75,19900900.0,95.875,19900600.0,95.75,19900900.0
1990-03-21,96.125,19900900.0,96.25,19900600.0,96.125,19900900.0
1990-03-22,96.0,19900900.0,96.125,19900600.0,96.0,19900900.0
1990-03-23,96.0625,19900900.0,96.1875,19900600.0,96.0625,19900900.0
1990-03-26,96.1875,19900900.0,96.3125,19900600.0,96.1875,19900900.0
1990-03-27,96.3125,19900900.0,96.4375,19900600.0,96.3125,19900900.0
1990-03-28,96.21875,19900900.0,96.3125,19900600.0,96.21875,19900900.0
1990-03-29,96.34375,19900900.0,96.4375,19900600.0,96.34375,19900900.0
1990-03-30,95.75,19900900.0,95.84375,19900600.0,95.75,19900900.0
1990-04-02,95.34375,19900900.0,95.4375,19900600.0,95.34375,19900900.0
1990-04-03,95.4375,19900900.0,95.5,19900600.0,95.4375,19900900.0
1990-04-04,95.53125,19900900.0,95.625,19900600.0,95.53125,19900900.0
1990-04-05,96.1875,19900900.0,96.28125,19900600.0,96.1875,19900900.0
1990-04-06,96.09375,19900900.0,96.1875,19900600.0,96.09375,19900900.0
1990-04-09,96.09375,19900900.0,96.1875,19900600.0,96.09375,19900900.0
1990-04-10,95.84375,19900900.0,95.9375,19900600.0,95.84375,19900900.0
1990-04-11,95.78125,19900900.0,95.875,19900600.0,95.78125,19900900.0
1990-04-12,95.625,19900900.0,95.71875,19900600.0,95.625,19900900.0
1990-04-13,95.5,19900900.0,95.59375,19900600.0,95.5,19900900.0
1990-04-16,95.5,19900900.0,95.59375,19900600.0,95.5,19900900.0
1990-04-17,95.3125,19900900.0,95.40625,19900600.0,95.3125,19900900.0
1990-04-18,94.75,19900900.0,94.875,19900600.0,94.75,19900900.0
1990-04-19,94.125,19900900.0,94.25,19900600.0,94.125,19900900.0
1990-04-20,94.09375,19900900.0,94.21875,19900600.0,94.09375,19900900.0
1990-04-23,93.625,19900900.0,93.75,19900600.0,93.625,19900900.0
1990-04-24,93.40625,19900900.0,93.59375,19900600.0,93.40625,19900900.0
1990-04-25,93.3125,19900900.0,93.46875,19900600.0,93.3125,19900900.0
1990-04-26,93.375,19900900.0,93.46875,19900600.0,93.375,19900900.0
1990-04-27,93.03125,19900900.0,93.125,19900600.0,93.03125,19900900.0
1990-04-30,93.0625,19900900.0,93.15625,19900600.0,93.0625,19900900.0
1990-05-01,93.15625,19900900.0,93.25,19900600.0,93.15625,19900900.0
1990-05-02,93.03125,19900900.0,93.09375,19900600.0,93.03125,19900900.0
1990-05-03,93.0,19900900.0,93.03125,19900600.0,93.0,19900900.0
1990-05-04,93.21875,19900900.0,93.25,19900600.0,93.21875,19900900.0
1990-05-07,94.5,19900900.0,94.5625,19900600.0,94.5,19900900.0
1990-05-08,94.3125,19900900.0,94.34375,19900600.0,94.3125,19900900.0
1990-05-09,94.5625,19900900.0,94.59375,19900600.0,94.5625,19900900.0
1990-05-10,93.96875,19900900.0,94.0,19900600.0,93.96875,19900900.0
1990-05-11,94.5,19900900.0,94.5625,19900600.0,94.5,19900900.0
1990-05-14,95.59375,19900900.0,95.625,19900600.0,95.59375,19900900.0
1990-05-15,95.78125,19900900.0,95.84375,19900600.0,95.78125,19900900.0
1990-05-16,95.5,19900900.0,95.53125,19900600.0,95.5,19900900.0
1990-05-17,95.34375,19900900.0,95.40625,19900600.0,95.34375,19900900.0
1990-05-18,95.25,19900900.0,95.3125,19900600.0,95.25,19900900.0
1990-05-21,94.90625,19900900.0,94.96875,19900600.0,94.90625,19900900.0
1990-05-22,94.9375,19900900.0,95.0,19900600.0,94.9375,19900900.0
1990-05-23,95.59375,19900900.0,95.625,19900600.0,95.59375,19900900.0
1990-05-24,95.78125,19900900.0,95.8125,19900600.0,95.78125,19900900.0
1990-05-25,95.65625,19900900.0,95.75,19900600.0,95.65625,19900900.0
1990-05-28,95.21875,19900900.0,95.3125,19900600.0,95.21875,19900900.0
1990-05-29,95.21875,19900900.0,95.3125,19900600.0,95.21875,19900900.0
1990-05-30,95.53125,19900900.0,95.5625,19900600.0,95.53125,19900900.0
1990-05-31,95.71875,19901200.0,95.78125,19900900.0,95.71875,19901200.0
1990-06-01,95.78125,19901200.0,95.875,19900900.0,95.78125,19901200.0
1990-06-04,96.78125,19901200.0,96.875,19900900.0,96.78125,19901200.0
1990-06-05,96.8125,19901200.0,96.90625,19900900.0,96.8125,19901200.0
1990-06-06,96.5625,19901200.0,96.65625,19900900.0,96.5625,19901200.0
1990-06-07,96.59375,19901200.0,96.6875,19900900.0,96.59375,19901200.0
1990-06-08,96.625,19901200.0,96.71875,19900900.0,96.625,19901200.0
1990-06-11,96.59375,19901200.0,96.6875,19900900.0,96.59375,19901200.0
1990-06-12,96.5,19901200.0,96.59375,19900900.0,96.5,19901200.0
1990-06-13,96.5,19901200.0,96.59375,19900900.0,96.5,19901200.0
1990-06-14,97.0,19901200.0,97.09375,19900900.0,97.0,19901200.0
1990-06-15,97.1875,19901200.0,97.28125,19900900.0,97.1875,19901200.0
1990-06-18,96.625,19901200.0,96.71875,19900900.0,96.625,19901200.0
1990-06-19,96.34375,19901200.0,96.4375,19900900.0,96.34375,19901200.0
1990-06-20,96.3125,19901200.0,96.40625,19900900.0,96.3125,19901200.0
1990-06-21,96.03125,19901200.0,96.125,19900900.0,96.03125,19901200.0
1990-06-22,96.25,19901200.0,96.34375,19900900.0,96.25,19901200.0
1990-06-25,96.3125,19901200.0,96.40625,19900900.0,96.3125,19901200.0
1990-06-26,95.75,19901200.0,95.84375,19900900.0,95.75,19901200.0
1990-06-27,96.03125,19901200.0,96.125,19900900.0,96.03125,19901200.0
1990-06-28,96.25,19901200.0,96.34375,19900900.0,96.25,19901200.0
1990-06-29,96.5625,19901200.0,96.6875,19900900.0,96.5625,19901200.0
1990-07-02,96.875,19901200.0,97.0,19900900.0,96.875,19901200.0
1990-07-03,96.84375,19901200.0,96.9375,19900900.0,96.84375,19901200.0
1990-07-04,97.0625,19901200.0,97.15625,19900900.0,97.0625,19901200.0
1990-07-05,97.0625,19901200.0,97.15625,19900900.0,97.0625,19901200.0
1990-07-06,96.875,19901200.0,96.96875,19900900.0,96.875,19901200.0
1990-07-09,96.25,19901200.0,96.3125,19900900.0,96.25,19901200.0
1990-07-10,96.0,19901200.0,96.03125,19900900.0,96.0,19901200.0
1990-07-11,95.84375,19901200.0,95.90625,19900900.0,95.84375,19901200.0
1990-07-12,96.0,19901200.0,96.0625,19900900.0,96.0,19901200.0
1990-07-13,96.46875,19901200.0,96.53125,19900900.0,96.46875,19901200.0
1990-07-16,96.71875,19901200.0,96.78125,19900900.0,96.71875,19901200.0
1990-07-17,96.8125,19901200.0,96.90625,19900900.0,96.8125,19901200.0
1990-07-18,96.875,19901200.0,96.96875,19900900.0,96.875,19901200.0
1990-07-19,96.40625,19901200.0,96.46875,19900900.0,96.40625,19901200.0
1990-07-20,96.34375,19901200.0,96.4375,19900900.0,96.34375,19901200.0
1990-07-23,96.59375,19901200.0,96.6875,19900900.0,96.59375,19901200.0
1990-07-24,96.5625,19901200.0,96.65625,19900900.0,96.5625,19901200.0
1990-07-25,96.21875,19901200.0,96.28125,19900900.0,96.21875,19901200.0
1990-07-26,96.5,19901200.0,96.59375,19900900.0,96.5,19901200.0
1990-07-27,96.5625,19901200.0,96.65625,19900900.0,96.5625,19901200.0
1990-07-30,97.0,19901200.0,97.125,19900900.0,97.0,19901200.0
1990-07-31,97.59375,19901200.0,97.75,19900900.0,97.59375,19901200.0
1990-08-01,97.40625,19901200.0,97.53125,19900900.0,97.40625,19901200.0
1990-08-02,97.8125,19901200.0,97.96875,19900900.0,97.8125,19901200.0
1990-08-03,97.125,19901200.0,97.25,19900900.0,97.125,19901200.0
1990-08-06,96.84375,19901200.0,97.0,19900900.0,96.84375,19901200.0
1990-08-07,95.125,19901200.0,95.28125,19900900.0,95.125,19901200.0
1990-08-08,94.75,19901200.0,94.875,19900900.0,94.75,19901200.0
1990-08-09,94.6875,19901200.0,94.84375,19900900.0,94.6875,19901200.0
1990-08-10,95.375,19901200.0,95.53125,19900900.0,95.375,19901200.0
1990-08-13,95.25,19901200.0,95.40625,19900900.0,95.25,19901200.0
1990-08-14,95.21875,19901200.0,95.375,19900900.0,95.21875,19901200.0
1990-08-15,95.40625,19901200.0,95.5625,19900900.0,95.40625,19901200.0
1990-08-16,95.59375,19901200.0,95.71875,19900900.0,95.59375,19901200.0
1990-08-17,94.75,19901200.0,94.90625,19900900.0,94.75,19901200.0
1990-08-20,94.5,19901200.0,94.65625,19900900.0,94.5,19901200.0
1990-08-21,94.53125,19901200.0,94.65625,19900900.0,94.53125,19901200.0
1990-08-22,94.375,19901200.0,94.53125,19900900.0,94.375,19901200.0
1990-08-23,93.9375,19901200.0,94.0625,19900900.0,93.9375,19901200.0
1990-08-24,93.375,19901200.0,93.53125,19900900.0,93.375,19901200.0
1990-08-27,93.125,19901200.0,93.28125,19900900.0,93.125,19901200.0
1990-08-28,94.0,19901200.0,94.15625,19900900.0,94.0,19901200.0
1990-08-29,93.8125,19901200.0,93.96875,19900900.0,93.8125,19901200.0
1990-08-30,94.28125,19910300.0,94.46875,19901200.0,94.28125,19910300.0
1990-08-31,94.125,19910300.0,94.3125,19901200.0,94.125,19910300.0
1990-09-03,94.15625,19910300.0,94.34375,19901200.0,94.15625,19910300.0
1990-09-04,94.15625,19910300.0,94.34375,19901200.0,94.15625,19910300.0
1990-09-05,93.78125,19910300.0,94.03125,19901200.0,93.78125,19910300.0
1990-09-06,94.0625,19910300.0,94.3125,19901200.0,94.0625,19910300.0
1990-09-07,94.1875,19910300.0,94.4375,19901200.0,94.1875,19910300.0
1990-09-10,94.40625,19910300.0,94.65625,19901200.0,94.40625,19910300.0
1990-09-11,94.125,19910300.0,94.375,19901200.0,94.125,19910300.0
1990-09-12,94.1875,19910300.0,94.4375,19901200.0,94.1875,19910300.0
1990-09-13,94.25,19910300.0,94.46875,19901200.0,94.25,19910300.0
1990-09-14,94.3125,19910300.0,94.53125,19901200.0,94.3125,19910300.0
1990-09-17,93.9375,19910300.0,94.1875,19901200.0,93.9375,19910300.0
1990-09-18,93.75,19910300.0,94.0,19901200.0,93.75,19910300.0
1990-09-19,93.78125,19910300.0,94.03125,19901200.0,93.78125,19910300.0
1990-09-20,93.875,19910300.0,94.125,19901200.0,93.875,19910300.0
1990-09-21,93.65625,19910300.0,93.90625,19901200.0,93.65625,19910300.0
1990-09-24,93.25,19910300.0,93.5,19901200.0,93.25,19910300.0
1990-09-25,92.875,19910300.0,93.1875,19901200.0,92.875,19910300.0
1990-09-26,93.125,19910300.0,93.40625,19901200.0,93.125,19910300.0
1990-09-27,93.1875,19910300.0,93.46875,19901200.0,93.1875,19910300.0
