index,adjusted,underlying
2005-05-17,10620.61,2494.0
2005-05-18,10518.41,2470.0
2005-05-19,10454.53,2455.0
2005-05-20,10437.5,2451.0
2005-05-23,10360.85,2433.0
2005-05-24,10356.59,2432.0
2005-05-25,10271.42,2412.0
2005-05-27,10173.47,2389.0
2005-05-30,10088.3,2369.0
2005-05-31,10243.51,2442.0
2005-06-01,10402.91,2480.0
2005-06-02,10235.12,2440.0
2005-06-03,10277.07,2450.0
2005-06-06,10402.91,2480.0
2005-06-07,10423.88,2485.0
2005-06-08,10436.47,2488.0
2005-06-09,10591.67,2525.0
2005-06-10,10474.22,2497.0
2005-06-13,10365.16,2471.0
2005-06-14,10277.07,2450.0
2005-06-15,10235.12,2440.0
2005-06-16,10142.84,2418.0
2005-06-17,10067.33,2400.0
2005-06-20,10092.5,2406.0
2005-06-21,10000.21,2384.0
2005-06-22,10046.36,2395.0
2005-06-23,10130.22,2416.0
2005-06-24,10021.2,2390.0
2005-06-27,9983.46,2381.0
2005-06-28,9954.11,2374.0
2005-06-29,9895.41,2360.0
2005-06-30,9855.58,2350.5
2005-07-01,9893.13,2371.0
2005-07-04,9980.75,2392.0
2005-07-05,10030.82,2404.0
2005-07-06,10076.72,2415.0
2005-07-07,9997.44,2396.0
2005-07-08,9964.06,2388.0
2005-07-11,9843.06,2359.0
2005-07-12,9826.37,2355.0
2005-07-13,9888.96,2370.0
2005-07-14,9797.16,2348.0
2005-07-15,9826.37,2355.0
2005-07-18,9805.51,2350.0
2005-07-19,9834.71,2357.0
2005-07-20,9780.47,2344.0
2005-07-21,9897.3,2372.0
2005-07-22,10026.65,2403.0
2005-07-25,10385.49,2489.0
2005-07-26,10160.17,2435.0
2005-07-27,10193.55,2443.0
2005-07-28,10039.17,2406.0
2005-07-29,9984.93,2393.0
2005-08-01,9984.93,2406.0
2005-08-02,9827.23,2368.0
2005-08-03,9760.83,2352.0
2005-08-04,9694.43,2336.0
2005-08-05,9690.28,2335.0
2005-08-08,9773.28,2355.0
2005-08-09,9586.52,2310.0
2005-08-10,9557.47,2303.0
2005-08-11,9856.28,2375.0
2005-08-12,9930.98,2393.0
2005-08-15,9760.83,2352.0
2005-08-16,9839.68,2371.0
2005-08-17,9823.08,2367.0
2005-08-18,10018.13,2414.0
2005-08-19,10204.88,2459.0
2005-08-22,9918.53,2390.0
2005-08-23,10001.53,2410.0
2005-08-24,10209.03,2460.0
2005-08-25,9984.93,2406.0
2005-08-26,9993.23,2408.0
2005-08-29,9930.98,2393.0
2005-08-30,9881.18,2381.0
2005-08-31,9794.03,2360.0
2005-09-01,9785.84,2390.0
2005-09-02,9667.1,2361.0
2005-09-05,9667.1,2361.0
2005-09-06,9626.15,2351.0
2005-09-08,9622.06,2350.0
2005-09-09,9572.92,2338.0
2005-09-12,9574.97,2338.5
2005-09-13,9605.68,2346.0
2005-09-14,9577.02,2339.0
2005-09-15,9474.65,2314.0
2005-09-16,9478.75,2315.0
2005-09-19,9454.18,2309.0
2005-09-20,9458.28,2310.0
