index,adjusted,underlying
2005-05-17,125317.0,24670.0
2005-05-18,127247.3,25050.0
2005-05-19,127247.3,25050.0
2005-05-20,125723.38,24750.0
2005-05-23,123691.48,24350.0
2005-05-24,125317.0,24670.0
2005-05-25,125215.4,24650.0
2005-05-27,128771.22,25350.0
2005-05-30,129888.76,25570.0
2005-05-31,128720.42,25340.0
2005-06-01,132479.42,26080.0
2005-06-02,136136.83,26800.0
2005-06-03,134612.91,26500.0
2005-06-06,130650.72,25720.0
2005-06-07,127552.08,25110.0
2005-06-08,125215.4,24650.0
2005-06-09,124707.43,24550.0
2005-06-10,126129.76,24830.0
2005-06-13,125824.97,24770.0
2005-06-14,126806.06,25850.0
2005-06-15,129749.34,26450.0
2005-06-16,129994.61,26500.0
2005-06-17,131220.98,26750.0
2005-06-20,131000.23,26705.0
2005-06-21,129209.74,26340.0
2005-06-22,128768.25,26250.0
2005-06-23,125040.1,25490.0
2005-06-24,125089.15,25500.0
2005-06-27,125923.08,25670.0
2005-06-28,126070.25,25700.0
2005-06-29,125383.48,25560.0
2005-06-30,125334.43,25550.0
2005-07-01,126315.52,25750.0
2005-07-04,124696.72,25420.0
2005-07-05,122145.88,24900.0
2005-07-06,121900.61,24850.0
2005-07-07,121410.06,24750.0
2005-07-08,121115.73,24690.0
2005-07-11,124598.61,25400.0
2005-07-12,126511.74,25790.0
2005-07-13,129136.16,26325.0
2005-07-14,129258.79,26350.0
2005-07-15,124843.88,25450.0
2005-07-18,125530.64,25590.0
2005-07-19,124304.28,25340.0
2005-07-20,126511.74,25790.0
2005-07-21,126560.79,25800.0
2005-07-22,124108.06,25300.0
2005-07-25,119840.31,24430.0
2005-07-26,121900.61,24850.0
2005-07-27,124353.34,25350.0
2005-07-28,128572.03,26210.0
2005-07-29,127934.32,26080.0
2005-08-01,129994.61,26500.0
2005-08-02,131417.19,26790.0
2005-08-03,131122.87,26730.0
2005-08-04,130092.72,26520.0
2005-08-05,130485.16,26600.0
2005-08-08,130975.7,26700.0
2005-08-09,134066.14,27330.0
2005-08-10,133281.27,27170.0
2005-08-11,129258.79,26350.0
2005-08-12,131711.52,26850.0
2005-08-15,134900.07,27500.0
2005-08-16,132790.72,27070.0
2005-08-17,134718.72,27950.0
2005-08-18,131007.33,27180.0
2005-08-19,129513.13,26870.0
2005-08-22,133513.72,27700.0
2005-08-23,130862.73,27150.0
2005-08-24,130043.33,26980.0
2005-08-25,134525.92,27910.0
2005-08-26,132308.72,27450.0
2005-08-29,133272.72,27650.0
2005-08-30,135297.12,28070.0
2005-08-31,137369.71,28500.0
2005-09-01,136646.71,28350.0
2005-09-02,138044.51,28640.0
2005-09-05,139104.91,28860.0
2005-09-06,140743.7,29200.0
2005-09-08,140454.51,29140.0
2005-09-09,142430.7,29550.0
2005-09-12,141322.1,29320.0
2005-09-13,140599.1,29170.0
2005-09-14,141611.3,29380.0
2005-09-15,142527.1,29570.0
2005-09-16,144599.7,30000.0
2005-09-19,146334.89,30360.0
2005-09-20,145419.09,30170.0
2005-09-21,149612.49,31040.0
2005-09-22,148503.89,30810.0
2005-09-23,151805.58,31495.0
2005-09-26,150745.18,31275.0
2005-09-27,149178.69,30950.0
2005-09-28,151781.48,31490.0
2005-09-29,150383.68,31200.0
2005-09-30,151829.68,31500.0
2005-10-03,153709.48,31890.0
2005-10-04,150817.48,31290.0
2005-10-05,145563.69,30200.0
2005-10-06,140791.9,29210.0
2005-10-07,144117.7,29900.0
2005-10-10,145852.89,30260.0
2005-10-11,147515.79,30605.0
2005-10-13,145482.57,30410.0
2005-10-14,145434.73,30400.0
2005-10-17,146391.54,30600.0
2005-10-18,141607.5,29600.0
2005-10-19,144095.2,30120.0
2005-10-20,136823.47,28600.0
2005-10-21,140650.7,29400.0
2005-10-24,144717.13,30250.0
2005-10-25,143521.12,30000.0
2005-10-26,143903.84,30080.0
2005-10-27,140555.02,29380.0
2005-10-28,142564.31,29800.0
2005-10-31,146295.86,30580.0
2005-11-01,149740.37,31300.0
